Club,Number,Position,Nationality,Player,Captain
UTS Rabat,10,MF,MAR,Mohamed Amine Essahel,False
UTS Rabat,11,FW,MAR,Ahmed Aboulfath,False
UTS Rabat,13,DF,MAR,Youssef Kajai,False
UTS Rabat,14,FW,MAR,Abdelkabir El Ouadi,False
UTS Rabat,15,DF,MAR,Hamza Regragui,False
UTS Rabat,16,MF,MAR,Hamza Bousqal,False
UTS Rabat,17,MF,MAR,Souhayl Zamrat,False
UTS Rabat,18,MF,MAR,Omar Arjoune,False
UTS Rabat,19,FW,MAR,Nasreddine Moustaghfir,False
UTS Rabat,20,DF,NED,Ilias Haddad,False
UTS Rabat,21,FW,MAR,Brahim El Bahraoui,False
UTS Rabat,23,MF,MAR,Abdelhay Forsy,False
UTS Rabat,25,DF,MAR,Taha Majni,False
UTS Rabat,26,MF,CIV,Banfa Sylla,False
UTS Rabat,27,DF,MAR,Zakaria Aiada,False
UTS Rabat,28,DF,MAR,Khalid Kasbi,False
UTS Rabat,29,FW,MAR,Mohamed Fouzair,False
UTS Rabat,31,MF,MAR,Walid Rhailouf,False
UTS Rabat,33,MF,MAR,Redouan Ait Lamkadem,False
UTS Rabat,34,FW,MAR,Zoubir Housni,False
UTS Rabat,37,FW,MAR,Salim Ghazzani,False
UTS Rabat,39,FW,MAR,Yassine Zraa,False
UTS Rabat,40,MF,MAR,Adam Chakir,False
UTS Rabat,41,DF,MAR,Mehdi Ashabi,False
UTS Rabat,50,GK,MAR,Walid Hasbi,False
UTS Rabat,52,DF,MAR,Fouad Zahouani,False
UTS Rabat,55,GK,MAR,Abderahmane El Houasli,False
Wydad AC,1,GK,MAR,Abdelali Mhamdi,False
Wydad AC,2,DF,MAR,Mohamed Moufid,False
Wydad AC,4,DF,MAR,Amine Aboulfath,False
Wydad AC,5,DF,MAR,Ayman El Wafi,False
Wydad AC,6,MF,MAR,Walid Sabbar,False
Wydad AC,7,FW,MAR,Hakim Ziyech,False
Wydad AC,8,FW,MAR,Mohamed Rayhi,False
Wydad AC,9,FW,FRA,Wissam Ben Yedder,False
Wydad AC,10,MF,BOL,Ramiro Vaca,False
Wydad AC,11,FW,MAR,Nordin Amrabat,True
Wydad AC,13,DF,MAR,Sallah Moussaddaq,False
Wydad AC,14,DF,BRA,Guilherme Ferreira,False
Wydad AC,15,MF,MAR,Abdelghafour Lamirat,False
Wydad AC,16,GK,MAR,Mehdi Benabid,False
Wydad AC,17,MF,MAR,Rayane Mahtou,False
Wydad AC,18,FW,MAR,Hamza Elowasti,False
Wydad AC,19,FW,MAR,Hamza Hannouri,False
Wydad AC,20,FW,BOL,Moises Paniagua,False
Wydad AC,22,DF,NED,Bart Meijers,False
Wydad AC,24,DF,MAR,Ayoub Boucheta,False
Wydad AC,26,MF,MAR,Hamza Sakhi,False
Wydad AC,27,MF,COD,Joseph Bakasu,False
Wydad AC,28,FW,MAR,Walid Nassi,False
Wydad AC,29,DF,MAR,Nabil Khali,False
Wydad AC,32,MF,MAR,Naïm Byar,False
Wydad AC,22,MF,BRA,Arthur,False
Wydad AC,34,DF,MAR,Mohamed Bouchouari,False
Wydad AC,37,FW,MAR,Chamss Eddine El Allaly,False
Wydad AC,40,FW,MAR,Mohamed El Ouardi,False
Wydad AC,42,DF,MAR,Brahim Laafouri,False
Wydad AC,53,FW,MAR,Salman Rihani,False
Wydad AC,55,GK,MAR,Aymen El Jaafary,False
